tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0035423,AR,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506",6.4,89075
tt0069049,AU,The Other Side of the Wind,2018,122,Drama,nm0000080,"nm0000080,nm0462648",6.7,8043
tt0082328,AU,Embodiment of Evil,2008,94,Horror,nm0596261,"nm0707963,nm0596261",5.9,1799
tt0113026,AU,The Fantasticks,2000,86,"Musical,Romance",nm0006916,"nm0429368,nm0772974",5.6,1433
tt0118589,AU,Glitter,2001,104,"Drama,Music,Romance",nm0193554,"nm0921985,nm0486824",2.4,24090
tt0118652,AU,The Attic Expeditions,2001,100,"Comedy,Horror,Mystery",nm0440948,nm0551138,4.9,1913
tt0118694,AE,In the Mood for Love,2000,98,"Drama,Romance",nm0939182,nm0939182,8.1,166862
tt0118852,CA,Chinese Coffee,2000,99,Drama,nm0000199,nm0507277,7.1,4633
tt0118926,AU,The Dancer Upstairs,2002,132,"Crime,Drama,Thriller",nm0000518,nm0787649,6.9,6877
tt0119004,AU,Don's Plum,2001,89,"Comedy,Drama",nm0730222,"nm0039192,nm0065818,nm0730222,nm0836476,nm0923673",5.6,4754
tt0119273,AE,Heavy Metal 2000,2000,88,"Action,Adventure,Animation","nm0170402,nm0501341","nm0247653,nm0084253,nm0847905,nm0127560,nm0313274,nm0591516,nm0651450,nm0881089,nm0532146",5.4,9323
tt0120202,AU,State and Main,2000,105,"Comedy,Drama",nm0000519,nm0000519,6.7,22182
tt0120263,AU,Songs from the Second Floor,2000,98,"Comedy,Drama",nm0027815,nm0027815,7.5,20349
tt0120467,CA,Vulgar,2000,87,"Crime,Drama,Thriller",nm0424682,nm0424682,5.2,4287
tt0120626,EC,April Captains,2000,123,"Drama,History,War",nm0210218,"nm0210218,nm0213476",7.1,3391
tt0120630,AR,Chicken Run,2000,84,"Adventure,Animation,Comedy","nm0520485,nm0661910","nm0520485,nm0661910,nm0456732,nm0123666,nm0640976",7.1,212267
tt0120667,CA,Fantastic Four,2005,106,"Action,Adventure,Fantasy",nm1103162,"nm0004111,nm0289833,nm0498278,nm0456158",5.7,343866
tt0120679,AR,Frida,2002,123,"Biography,Drama,Romance",nm0853380,"nm0380419,nm0797397,nm1187860,nm0622695,nm0858482",7.3,95329
tt0120681,AT,From Hell,2001,122,"Horror,Mystery,Thriller","nm0400436,nm0400441","nm0600872,nm0132427,nm0371249,nm0947913",6.7,164213
tt0120737,AE,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action,Adventure,Drama",nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392",8.9,2007121
tt0120753,AR,The Million Dollar Hotel,2000,122,"Drama,Mystery,Thriller",nm0000694,"nm0458911,nm0095104",5.7,22469
tt0120755,AE,Mission: Impossible II,2000,123,"Action,Adventure,Thriller",nm0000247,"nm0312367,nm0601822,nm0103804,nm0001801",6.1,377703
tt0120804,AE,Resident Evil,2002,100,"Action,Horror,Sci-Fi",nm0027271,nm0027271,6.6,288450
tt0120824,AU,The Shipping News,2001,111,Drama,nm0002120,"nm0698925,nm0414608",6.7,33924
tt0120903,AE,X-Men,2000,104,"Action,Adventure,Sci-Fi",nm0001741,"nm0220892,nm0001741,nm0371684",7.3,646568
tt0120912,AE,Men in Black II,2002,88,"Action,Adventure,Comedy",nm0001756,"nm0192384,nm0330565,nm0266673",6.2,403649
tt0120913,AU,Titan A.E.,2000,94,"Action,Adventure,Animation","nm0089940,nm0325776","nm0061829,nm0566595,nm0249421,nm0041864,nm0923736",6.6,63953
tt0120917,AU,The Emperor's New Groove,2000,78,"Adventure,Animation,Comedy",nm0227540,"nm0930261,nm0227540,nm0721675,nm0027459,nm2320658,nm0636236,nm0021249,nm0414226,nm0291208,nm0448208,nm0910559",7.4,225488
tt0121164,AE,Corpse Bride,2005,77,"Animation,Drama,Family","nm0000318,nm0425843","nm0000318,nm0335022,nm0041864,nm0003031,nm0972040",7.4,298834
tt0121765,AU,Star Wars: Episode II - Attack of the Clones,2002,142,"Action,Adventure,Fantasy",nm0000184,"nm0000184,nm0355054",6.6,758923
tt0121766,AE,Star Wars: Episode III - Revenge of the Sith,2005,140,"Action,Adventure,Fantasy",nm0000184,"nm0000184,nm1694619,nm2176955",7.6,845388
tt0122459,AU,Return to Me,2000,115,"Comedy,Drama,Romance",nm0001372,"nm0001372,nm0482141,nm0827632,nm0329224",6.9,22789
tt0123003,BR,Bruno,2000,108,"Comedy,Drama",nm0000511,nm0162350,6.0,1603
tt0125022,AU,Heartbreakers,2001,123,"Comedy,Crime,Romance",nm0592400,"nm0242743,nm0345488,nm0563397",6.2,57989
tt0126029,AE,Shrek,2001,90,"Adventure,Animation,Comedy","nm0011470,nm0421776","nm0825308,nm0254645,nm0744429,nm0830294,nm0776107,nm0970606,nm1844237,nm0970447",7.9,734180
tt0127349,AU,Waking the Dead,2000,105,"Drama,Mystery,Romance",nm0330360,"nm0818098,nm0226889",6.4,7624
tt0130623,AU,Dinosaur,2000,82,"Adventure,Animation,Drama","nm0500343,nm0957798","nm0258059,nm0365666,nm0414608,nm0957798,nm0338396,nm0348356,nm0682473,nm0731271,nm1014201,nm1073262",6.4,67226
tt0131704,AU,The Adventures of Rocky & Bullwinkle,2000,92,"Adventure,Comedy,Family",nm0005197,"nm0911599,nm0518836",4.3,21199
tt0132245,AT,Driven,2001,116,"Action,Drama,Sport",nm0001317,"nm0804847,nm0845844,nm0000230",4.6,43105
tt0132910,AU,The Crow: Salvation,2000,102,"Action,Crime,Fantasy",nm0620576,"nm0639335,nm0423715",4.9,12406
tt0133152,AU,Planet of the Apes,2001,120,"Action,Adventure,Sci-Fi",nm0000318,"nm0099541,nm0115310,nm0465199,nm0742797",5.7,229093
tt0133240,AU,Treasure Planet,2002,95,"Adventure,Animation,Family","nm0166256,nm0615780","nm0829044,nm0166256,nm0615780,nm0972395,nm0254645,nm0744429",7.2,133041
tt0134084,AU,Scream 3,2000,116,"Horror,Mystery",nm0000127,"nm0932078,nm0472567",5.6,164055
tt0134630,AU,Duets,2000,112,"Comedy,Drama,Music",nm0001591,nm0126440,6.1,10057
tt0134847,AE,Pitch Black,2000,109,"Action,Horror,Sci-Fi",nm0878638,"nm0923646,nm0003117,nm0878638",7.0,252982
tt0134983,AU,Supernova,2000,90,"Horror,Sci-Fi,Thriller","nm0001353,nm0000338,nm0794791","nm0540532,nm0160935,nm0933276",4.8,19413
