tconst,actor
tt0035423,"nm0413168,nm0000630,nm0005227,nm0925966,nm0925717,nm0336960,nm0821817,nm0697069"
tt0069049,"nm0001379,nm0000953,nm0287988,nm0709947,nm0639529,nm0593192"
tt0082328,"nm0596261,nm0883465,nm0835629,nm1141101,nm0720219,nm0553417"
tt0113026,"nm0001297,nm0400464,nm0570771,nm0606683,nm0837976,nm0854418,nm0317727,nm0185272"
tt0118589,"nm0073160,nm0066586,nm0005024,nm0002126,nm0629967"
tt0118652,"nm0427470,nm0001293,nm0001062,nm0001646,nm9053392,nm0004840,nm0369184"
tt0118694,"nm0504897,nm0803310,nm0156432,nm0155285,nm0151014"
tt0118852,"nm0000199,nm0001583,nm0596149,nm0498003,nm0251636,nm0919525"
tt0118926,"nm0000849,nm0098709,nm0183122,nm0162502,nm0543682,nm0284272"
tt0119004,"nm0089231,nm0175305,nm0001497,nm0000138,nm1517371,nm1231037"
tt0119273,"nm0000461,nm0002150,nm0463233,nm0595594,nm0429115,nm0390161,nm0269479,nm0269479"
tt0120202,"nm0000450,nm0000513,nm0383449,nm0103511,nm0483727,nm0815814,nm0163988,nm0419633"
tt0120263,"nm0635070,nm0489281,nm0138061,nm0265229,nm0027829,nm0639282,nm0904220,nm0433678,nm0433678,nm0744979,nm0648090,nm0648090"
tt0120467,"nm0641168,nm0641168,nm0641168,nm0424682,nm0507915,nm0839486,nm0536866,nm1152649,nm0500127,nm1152014,nm1226243,nm0425068"
tt0120626,"nm0009629,nm0021835,nm0682692,nm0555093,nm0896674,nm0215429,nm0758406,nm0543666"
tt0120630,"nm0000154,nm0200057,nm0371304,nm0001758,nm0926368"
tt0120667,"nm0344435,nm0004821,nm0262635,nm0573037,nm0512934,nm0662189,nm0574081"
tt0120679,"nm0000547,nm0001691,nm0882364,nm0526019"
tt0120681,"nm0000136,nm0000453,nm0001059,nm0007183,nm0002076,nm0367731,nm0722631"
tt0120737,"nm0000704,nm0005212,nm0089217,nm0000293,nm0397102,nm0032370,nm0000276,nm1019674,nm1019674,nm1019674,nm0101710,nm0785227"
tt0120753,"nm0001111,nm0000154,nm0001751,nm0001780,nm0101005,nm0006610,nm0001069"
tt0120755,"nm0000129,nm0779084,nm0000609,nm0746896,nm0689852,nm0322407,nm0784884,nm0544611,nm0700712"
tt0120804,"nm1011675,nm0668994,nm0562008,nm0849751,nm0124964"
tt0120824,"nm0000228,nm0000592,nm0001277,nm0406975,nm0684521,nm0004736,nm0683978"
tt0120903,"nm0001772,nm0413168,nm0413168,nm0005212,nm0005188,nm0541932,nm0661917"
tt0120912,"nm0000169,nm0000226,nm0001800,nm0424216,nm0424216,nm0001724,nm0911320,nm0444940,nm0189144"
tt0120913,"nm0000354,nm0000597,nm0108028,nm0132637,nm0152002,nm0175720,nm0191906"
tt0120917,"nm0005450,nm0000422,nm0911320,nm0513070,nm0027459,nm0074036,nm0074036,nm0120309"
tt0121164,"nm0000136,nm0925768,nm0925768,nm0925768,nm0001215,nm0001290,nm0000489,nm0001284"
tt0121765,"nm0159789,nm0000191,nm0000489,nm0000489,nm0000168,nm0000568,nm0001519,nm0607325,nm0001751"
tt0121766,"nm0159789,nm0000191,nm0000168,nm0001519,nm0001751,nm0000568,nm0000355,nm0000489"
tt0122459,"nm0000141,nm0005279,nm0005162,nm0004979,nm0428008,nm0000902"
tt0123003,"nm0513281,nm0000641"
tt0125022,"nm0000432,nm0000501,nm0000501,nm0005134,nm0000470,nm0575339,nm0419633"
tt0126029,"nm0000196,nm0000196,nm0000196,nm0000552,nm0001475,nm0001993,nm0219536,nm0971140,nm0191906,nm0970731,nm1844237,nm1844237"
tt0127349,"nm0001082,nm1123814,nm0485011,nm0004272,nm0001358,nm0199325,nm0000438"
tt0130623,"nm0000665,nm0942787,nm0001115,nm0143295,nm0802742"
tt0131704,"nm0000134,nm0004517,nm0001642,nm0779423,nm0779423,nm0779423,nm0005348,nm0005565,nm0005565,nm0005565"
tt0132245,"nm0000230,nm0661164,nm0001709,nm0000608,nm0209246,nm0109785,nm0000494"
tt0132910,"nm0040472,nm0531095,nm0789470,nm0858710,nm0828353,nm0001535"
tt0133152,"nm0000242,nm0000619,nm0003817,nm0316079,nm0846480,nm0001831,nm0001434,nm0042805"
tt0133240,"nm0330687,nm0001737,nm0001975,nm0123553,nm0204424,nm0419645,nm0538261,nm0001526,nm0574540"
tt0134084,"nm0000274,nm0000630,nm0413996,nm0037118,nm0001131"
tt0134630,"nm0507271,nm0316079,nm0105672,nm0613147,nm1558628,nm0733218,nm0368157"
tt0134847,"nm0369513,nm0004874,nm0202966,nm0280143,nm0601385,nm0121865,nm0151995"
tt0134983,"nm0000652,nm0004906,nm0001233,nm0001617,nm0190497,nm0723332,nm0002468,nm0536748"
tt0138524,"nm0000123,nm0000671,nm0001691,nm0147825,nm0001346,nm0011882,nm0420955,nm0352625"
tt0138749,"nm0000177,nm0000110,nm0000800,nm0001579,nm0191906,nm0919798,nm0068551,nm0548211,nm0156958"
tt0138946,"nm0000242,nm0001618,nm0001001,nm0493031,nm0205789,nm0615540,nm0034519"
tt0139388,"nm0890232,nm0728346,nm0225191,nm0802831"
tt0139654,"nm0000243,nm0000160,nm0001277,nm0000297,nm0950867,nm0000855,nm0193295,nm0236564,nm0004879"
tt0141399,"nm0001447,nm0001383,nm0000092,nm0488662,nm0478416,nm0743501,nm0001520"
tt0141907,"nm0000886,nm0788009,nm0002719,nm0393853,nm0001326"
tt0141926,"nm0000190,nm0000200,nm0000172,nm0000954,nm0001418,nm0470981,nm0916617,nm0005276,nm0347509,nm0261678"
tt0144084,"nm0000288,nm0857620,nm0524197,nm0756083,nm0743671,nm0001467,nm0000353"
tt0144142,"nm0000729,nm0005561,nm0899681,nm0000778,nm0749263"
tt0144528,"nm0000552,nm0000552,nm0000552,nm0588777,nm0018099,nm0304579,nm0594301,nm0930615,nm0254402"
tt0144964,"nm0000483,nm0001600,nm0668271,nm0947447,nm0126325,nm0935057,nm0201965"
tt0145487,"nm0001497,nm0001497,nm0000353,nm0000353,nm0290556,nm0731772,nm0799777,nm0542133,nm0065418,nm0638056"
tt0145937,"nm1272555,nm1036024,nm0001752"
tt0146309,"nm0000126,nm0339304,nm0238057,nm0177020,nm0287898,nm0242683,nm0640790"
tt0146316,"nm0000685,nm0322513,nm0852965,nm0185819,nm0426062,nm0057368,nm0722279,nm0680587,nm1104138"
tt0146882,"nm0000131,nm0521974,nm0085312,nm0000209,nm0716854,nm0139604"
tt0146984,"nm0000226,nm0000354,nm0569226,nm0340408,nm0597670,nm0314253,nm0809031,nm0642259,nm0752876"
tt0149367,"nm0000056,nm0000551,nm0534398,nm0674837"
tt0149624,"nm0000354,nm0001794,nm0949632,nm0001731,nm0001598,nm0085407"
tt0150021,"nm0000558,nm0613147,nm0001235,nm0911320,nm0017651,nm0172806,nm0003210,nm1321794"
tt0151150,"nm0451321,nm0802103,nm2528716,nm0768296,nm0890875,nm0820283,nm1832304"
tt0153464,"nm0000576,nm0289038,nm0001111,nm0001394,nm0315767,nm0840303,nm0358772"
tt0156323,"nm0005172,nm0152638,nm0000362,nm0073137,nm0376200,nm0829121,nm0613147,nm0152313"
tt0156757,"nm0038673,nm0829623,nm0516385,nm0809831,nm0713750,nm0607371,nm0514780,nm0130736,nm0571137"
tt0156807,"nm0000635,nm0275913,nm0275913,nm0685221,nm0567769,nm15421884,nm0932028,nm0872487"
tt0156812,"nm0005260,nm0000102,nm0005561,nm0066290,nm0681785,nm0181699,nm0393185,nm0512963"
tt0156841,"nm0000391,nm0000973,nm0890232,nm0813977,nm0836220,nm0000439,nm0885090"
tt0157122,"nm0430746,nm0377631,nm0361574,nm0952911"
tt0157191,"nm0000664,nm0209340,nm0908022,nm0921108,nm0916448,nm1402342"
tt0157262,"nm0000558,nm0339619,nm0250718,nm0557489,nm0250282,nm0288944,nm0832159"
tt0157472,"nm0103038,nm0829390,nm0000299,nm0859450,nm0616068,nm0313464"
tt0157583,"nm0779084,nm0000562,nm0182666,nm0390903,nm0838910,nm0532193,nm0494945,nm1049796"
tt0158033,"nm0000191,nm0778831,nm0564516,nm0446302,nm0222594"
tt0158622,"nm0004692,nm0000286,nm0004959,nm0001086,nm0001086,nm0466327,nm0852616"
tt0159273,"nm0000432,nm0005562,nm0532683,nm0925916,nm0021835,nm0001418,nm0472762,nm0556343,nm0407258,nm0687937"
tt0159365,"nm0000179,nm0322407,nm0000450,nm0000610,nm0000661,nm0935653"
tt0159784,"nm0000240,nm0005568,nm0006610,nm0001520,nm0005290,nm0000297,nm0005438,nm0839486"
tt0160009,"nm0000648,nm0000661,nm0001999,nm0000299,nm0846480,nm0393222,nm0394253"
tt0160127,"nm0000195,nm0005377,nm0000347,nm0000417,nm0001455,nm0005112"
tt0160184,"nm0000230,nm0001165,nm0001434,nm0585857,nm0298089,nm0942482,nm0000297,nm0002332,nm0012586"
tt0160289,"nm0001267,nm0129071,nm0604175,nm0518687,nm0429289,nm0493872,nm0852616"
tt0160399,"nm0111274,nm0000352,nm0000641,nm0001724,nm0347375,nm0001616,nm0235427"
tt0160403,"nm0005467,nm0001611,nm0001130,nm0000339,nm0000165,nm0000953,nm0001024"
tt0160484,"nm0001035,nm0001311,nm0000457,nm0000480,nm0714753,nm0064040,nm0225963,nm0458619"
tt0160495,"nm0001001,nm0440229,nm0350079,nm0583951,nm0196325,nm0667266,nm0473614"
tt0160611,"nm0000228,nm0611932,nm0226820,nm0371342,nm0538869,nm0574561,nm0446303,nm0527994"
tt0160644,"nm0196718,nm0001209,nm0000722,nm0726200,nm0001745"
tt0160749,"nm0599715,nm0787187,nm0324658,nm0581810"
tt0160797,"nm0000169,nm0000168,nm0001602,nm0001426,nm0339304,nm0005516,nm0001311,nm0245653,nm0024849"
tt0161081,"nm0000148,nm0001664,nm0759704,nm0330846"
tt0161083,"nm0001454,nm0000362,nm0000491,nm0005170,nm0588777,nm0771493,nm0001209"
tt0161216,"nm0000352,nm0001629,nm0006610,nm0180984,nm0888022,nm0004949,nm0551182"
tt0161860,"nm0632457,nm0352278,nm0648943,nm0374568"
tt0162222,"nm0000158,nm0584052,nm0162904,nm0111944,nm0839532,nm0901952"
tt0162346,"nm0000114,nm0000605,nm0000837,nm0828863,nm0792156,nm0569711"
tt0162650,"nm0000168,nm0000288,nm0942482,nm0005354,nm0000445,nm0745780,nm0763650,nm0813977"
tt0162711,"nm0000551,nm0000560,nm0001447,nm0001599,nm0002332,nm0009811,nm0301925"
tt0162983,"nm0000527,nm0035060,nm0602170"
tt0163025,"nm0000554,nm0000513,nm0005273,nm0605080,nm0005052,nm0225963,nm0949340,nm0629737"
tt0163676,"nm0786136,nm0079846,nm0272474,nm0118568"
tt0163978,"nm0000138,nm0948679,nm0133899,nm0001015,nm0926768,nm0095465"
tt0163983,"nm0001751,nm0001722,nm0309461,nm0513468"
tt0164003,"nm0000369,nm0001001,nm0000367,nm1302306,nm0001745,nm0028846,nm1302186,nm0193061"
tt0164052,"nm0000102,nm0000982,nm0342399,nm0806217,nm0001137,nm0261021"
tt0164184,"nm0000255,nm0000151,nm1172817,nm0090309,nm0000342,nm0420898,nm0569226,nm0064040,nm0001311,nm0888625"
tt0164212,"nm0000151,nm0000432,nm0005048,nm0840822,nm0192486,nm0127450"
tt0164334,"nm0000151,nm0000699,nm0048414,nm0947338,nm0761587,nm0121605,nm0605363"
tt0164810,"nm0233027,nm0035061,nm0140887,nm0839934,nm1019798"
tt0164961,"nm0000367,nm0133899,nm0244707,nm0531014,nm0331433,nm0239429,nm0672422"
tt0165361,"nm0001467,nm0350453,nm0001525,nm0005315,nm0001679,nm1651274,nm0791156"
tt0165832,"nm0005188,nm0000198,nm0000621,nm0249378,nm0111196,nm0733500,nm0000150,nm0099909"
tt0165929,"nm0001472,nm0913460,nm0005568,nm0005148,nm0940851,nm0642912,nm0497592,nm0050737,nm0026364"
tt0165982,"nm0000093,nm0001212,nm0371660,nm0922367,nm0316271,nm0401203,nm1404026,nm0191906,nm0191906"
tt0166110,"nm0004879,nm0919117,nm0694066,nm0365244,nm0435074,nm0597740,nm0025425"
tt0166158,"nm0000671,nm0341431,nm0697789,nm0047305,nm0001815"
tt0166276,"nm0000409,nm0001806,nm0441592,nm0002064,nm0004929,nm0644022,nm0452914"
tt0166370,"nm0288347,nm5112784,nm5112432"
tt0166813,"nm0000354,nm0000342,nm0836070,nm0076718,nm0495492,nm0495492,nm0747785,nm0569501,nm0505664,nm0666740,nm0129106"
tt0166924,"nm0857620,nm1250340,nm0943291,nm0001233,nm0109785,nm0279209"
tt0167116,"nm0730099,nm0940784,nm0077753,nm0000662,nm0152557,nm0792177"
tt0167190,"nm0000579,nm0427964,nm0000457,nm1140344,nm0734558,nm0001787,nm0824498,nm0073231"
tt0167203,"nm0001641,nm0014582,nm0834925,nm0185819,nm0714698,nm0628940,nm1461040"
tt0167260,"nm0000704,nm0001557,nm0005212,nm0089217,nm0032370,nm0000276,nm0040058,nm0045324,nm0000293"
tt0167261,"nm0000704,nm0005212,nm0001557,nm0089217,nm0021600,nm0000276,nm0045324,nm1019674,nm0101710"
tt0167456,"nm0000200,nm0000381,nm0001426,nm1227232,nm1002695,nm0386516,nm1765792,nm0330983"
tt0168446,"nm0001745,nm0381735,nm1269005,nm0367822"
tt0168504,"nm0007045,nm0174780,nm0034492,nm0354469,nm0302956,nm0596789,nm0571892,nm0601345,nm0245145"
tt0168629,"nm0001556,nm0001780,nm0001297,nm0467449,nm0000852,nm0665535"
tt0168786,"nm0000243,nm1035682,nm1287636,nm0388144,nm1120315,nm0779440,nm0175305,nm0328955"
tt0168856,"nm0052051,nm0845310,nm0449881,nm0422205,nm0683397,nm0443502"
tt0169102,"nm0451148,nm0944834,nm0085860,nm0451425,nm0348490,nm0900267,nm0904503"
tt0170016,"nm0000120,nm0001787,nm0410347,nm0397212,nm0262924"
tt0170691,"nm0268199,nm0205127,nm0004286,nm0347509,nm0924154,nm1212050,nm0780678,nm0648416,nm0531762,nm0263882"
tt0171356,"nm0000553,nm0001624,nm0959242,nm0217716,nm0490774,nm0771493,nm0070115,nm0199637,nm0916491"
tt0171359,"nm0000160,nm0001492,nm0001731,nm0000195,nm0000630,nm0311297,nm0001872"
tt0171433,"nm0001774,nm0001570,nm0908919,nm0726492,nm0001232"
tt0171580,"nm0000151,nm0001674,nm0001427,nm0001173,nm0000417,nm0898546"
tt0171928,"nm0021835,nm0640722,nm0555829,nm0031521,nm0162535,nm0094426"
tt0172156,"nm0000226,nm0001454,nm0003244,nm0001780,nm0001592,nm0788335,nm0781218,nm0891485"
tt0172495,"nm0000128,nm0001618,nm0001657,nm0001321,nm0001394,nm0005023,nm0774516,nm0795344,nm0032962"
tt0172543,"nm0852965,nm0579595,nm0829226,nm0909935,nm0573018,nm0400655,nm0624836"
tt0172632,"nm0000453,nm0001804,nm0869852,nm0868110"
tt0173716,"nm0001151,nm0004978,nm0319142,nm0005276"
tt0173840,"nm0000285,nm0000114,nm0000609,nm0000661,nm0000249,nm0202966,nm0571578"
tt0174336,"nm0887144,nm0009017,nm0053474,nm0231646,nm0532698,nm1081171"
tt0174480,"nm0000152,nm0001439,nm0799777,nm0870794"
tt0175142,"nm0009016,nm0005541,nm0792156,nm0601214,nm0046420,nm0334175,nm0566217"
tt0176694,"nm2103019,nm0071428,nm0087755,nm0087755,nm0087755,nm0095971,nm0095971,nm0095971,nm0124401,nm1282619,nm1282619,nm1282619,nm0190782,nm0190782,nm0190782,nm0190812,nm0219051,nm0219051,nm0219051"
tt0176783,"nm0005188,nm0005342,nm0091899,nm0001579,nm0005045,nm0504965"
tt0177650,"nm0569790,nm0002117,nm0000470,nm0063804,nm0064777,nm0240831,nm1043173,nm1042728"
tt0177845,"nm0185819,nm0867017,nm0640560,nm0891092,nm0821152,nm0098324"
tt0177858,"nm0001953,nm0476011,nm0293695,nm0960379,nm0369603,nm0758407"
tt0177882,"nm0608324,nm0079301,nm1485637,nm0582490,nm1391248,nm0269831,nm2117626,nm2117626,nm1492411"
tt0177971,"nm0000123,nm0000242,nm0000604,nm0001209,nm0370035,nm0005300"
tt0178043,"nm0040015,nm0276062,nm0276062,nm0283556,nm0642071,nm0836954,nm0881161,nm0507680"
tt0178050,"nm0048932,nm0001763,nm0168262,nm0004965,nm0281107,nm0123261,nm0709907,nm0001467"
tt0178642,"nm0001172,nm0000920,nm0001953,nm0919260"
tt0179098,"nm0350453,nm0000163,nm1179618,nm1235210,nm0003928,nm0299474,nm0266697"
tt0179183,"nm0000483,nm0308606,nm0713723,nm0730578,nm0207548,nm0532171,nm0794506,nm0817676"
tt0179443,"nm0001212,nm0406975,nm0000925,nm0020717,nm0397110,nm0602941,nm0270194"
tt0179473,"nm0000671,nm0039435,nm0948267,nm0000681,nm0001228,nm0000607,nm0001069,nm0005052,nm0005019"
tt0179626,"nm0000134,nm0122653,nm0001288,nm0000984,nm0734558,nm0847727,nm0228180,nm0359695"
tt0179861,"nm0000276,nm0132257,nm0005078,nm0416625,nm0449130,nm0773606,nm0454193,nm0212359,nm0578121"
tt0180052,"nm0000552,nm0001542,nm0001642,nm0001592,nm0350079,nm0714310,nm0001967,nm0949350,nm0639200"
tt0180073,"nm0001691,nm0001618,nm0000323,nm0538869,nm0610459,nm0698082"
tt0180093,"nm0001467,nm0005541,nm0001520"
tt0180679,"nm0001099,nm0696193,nm0017020,nm0017020,nm0202795,nm0324259,nm1263999,nm0764393,nm1264459,nm1139201"
tt0180734,"nm0000206,nm0370035,nm0372522,nm0341549,nm0430107,nm0254678,nm0517472,nm0674008,nm0715337"
tt0180837,"nm0265155,nm0096542,nm0136692,nm0521088,nm0845261,nm0210274"
tt0181151,"nm0788009,nm0000422,nm0001427,nm0001426,nm0957955,nm0420955"
tt0181536,"nm0000125,nm0114532,nm0000719,nm0005354,nm0685856,nm0636694,nm0247733,nm0280245"
tt0181689,"nm0000129,nm0268199,nm0001884,nm0004996,nm0568180,nm0453304,nm0168044,nm0132625"
tt0181739,"nm0000401,nm0001674,nm0001383,nm0000638,nm0000165,nm0005376,nm1074339,nm1074292,nm0127361"
tt0181836,"nm0000507,nm0002006,nm0005085,nm0777372,nm0348231,nm0348181"
tt0181852,"nm0000216,nm0001763,nm0028625,nm0266611,nm0091286,nm0076718,nm0492441"
tt0181865,"nm0000140,nm0001125,nm0889846,nm0154530,nm0005398,nm0587401,nm0947490,nm0947490,nm0729256,nm0642259"
tt0181875,"nm0001082,nm0297578,nm0005134,nm0029400,nm0852965"
tt0181912,"nm0701327,nm0205843,nm0513679,nm0047081,nm0286305,nm0974090,nm0480273"
tt0181984,"nm0000610,nm0004874,nm0441588,nm0004790,nm0726492,nm0005085,nm0629737,nm0756083,nm0779866"
tt0182000,"nm0000168,nm0272173,nm0028319,nm0534132,nm0734421,nm0734421,nm0247672,nm0001309"
tt0182295,"nm0005273,nm0000110,nm0000498,nm0504412,nm0001972"
tt0182508,"nm0001246,nm0219673,nm0050458,nm0089937,nm0001086,nm0357979,nm0444832,nm1022539"
tt0183056,"nm0000453,nm0221612,nm0475988,nm0844435,nm0716463"
tt0183505,"nm0000120,nm0000120,nm0026364,nm0115236,nm0594302,nm0177933,nm0101365,nm0420955,nm0001233,nm0148808"
tt0183523,"nm0000209,nm0000641,nm0000332,nm0005278,nm0653660,nm0808902"
tt0183649,"nm0268199,nm0000662,nm0001845,nm0004897,nm0429114"
tt0183659,"nm0000438,nm0461446,nm0697069,nm0001069,nm0704276"
tt0183790,"nm0005132,nm0004692,nm0001722,nm0079273,nm0876138,nm0359710,nm0700856"
tt0183869,"nm0618651,nm0225899,nm0267188,nm0003133,nm0269188,nm1045521"
tt0184791,"nm0001616,nm0000640,nm0001326,nm0005080,nm0293803,nm0711805,nm0001334,nm0424513"
tt0184858,"nm0000255,nm0000641,nm0289656,nm0835893,nm0009811,nm0372784,nm0005002,nm0839027,nm0037856"
tt0184894,"nm0000329,nm0005562,nm0950619,nm0075359,nm0950552,nm0191284,nm0155213,nm0001064"
tt0184907,"nm0000331,nm0916406,nm0254402,nm0006563,nm0773884,nm0669681"
tt0185014,"nm0000140,nm0001497,nm0000375,nm0001800,nm0461666,nm0146680,nm0001796"
tt0185183,"nm0000237,nm0001845,nm0001608,nm0167649,nm0126250,nm0856351,nm0485111,nm0879186,nm1021017"
tt0185431,"nm0001191,nm0000172,nm0406975,nm0001474,nm0001098,nm0184445,nm0200601,nm0521781,nm0806912"
tt0186045,"nm0000362,nm0000729,nm0001209,nm0859197,nm0229930,nm0910145"
tt0186151,"nm0000598,nm0001029,nm0236495,nm0105672,nm0001187,nm0378199,nm0108758,nm0423627"
tt0186183,"nm0000597,nm0001701,nm0069518,nm0941316,nm0871993,nm0292114"
tt0186566,"nm0000142,nm0000169,nm0000661,nm0001258,nm0000342,nm0001137,nm0000363,nm0005524"
tt0186589,"nm0005188,nm0114868"
tt0186894,"nm0000255,nm0249962,nm0001282,nm0768377"
tt0186895,"nm0582126,nm0320721,nm0399088,nm0862400,nm0396363,nm0396363,nm0350227,nm0690698,nm0481024,nm0152871,nm0679930"
tt0186975,"nm0005327,nm0004999,nm0651008,nm0005110,nm0001857"
tt0187078,"nm0000115,nm0000610,nm0189278,nm0005406,nm0004790,nm0001166,nm0001599,nm0005148,nm0648249"
tt0187251,"nm0746957,nm0020217,nm0911211,nm0726164,nm0761687,nm0911642,nm0047244"
tt0187393,"nm0000154,nm0005132,nm0005042,nm0177933,nm0001409,nm0041281,nm0929489,nm0006610"
tt0187512,"nm0571106,nm0285913,nm0807503,nm0416596,nm0194516"
tt0187696,"nm0299811,nm0088935,nm0817450,nm0119593,nm0937264,nm0777912,nm0351578"
tt0187738,"nm0000648,nm0001434,nm0000579,nm0005342,nm0470981,nm0331577,nm0776580,nm0424253,nm0947447"
tt0188055,"nm0001696,nm0000286,nm0068382,nm0823462,nm0531628,nm0080987"
tt0188128,"nm0000596,nm0344435,nm0722629,nm0341558,nm1049863,nm0724173"
tt0188453,"nm0001993,nm0001035,nm0440913,nm0542118,nm0035602,nm0587950"
tt0189192,"nm0000606,nm0002010,nm0743671,nm0043891,nm0687321,nm0000532,nm0014841"
tt0189456,"nm0731103,nm0731103,nm0720801,nm0193135,nm0751330"
tt0189541,"nm0004968,nm0002090,nm0934569,nm0535084,nm0520199,nm0884313"
tt0189998,"nm0000518,nm0000353,nm0001424,nm0000144,nm0412850,nm0319010,nm0254574,nm0895812"
tt0190138,"nm0000246,nm0001612,nm0003817,nm0001629,nm0005558,nm0160269"
tt0190332,"nm0000334,nm0151654,nm0485950,nm0508329,nm0304723,nm0910879"
tt0190346,"nm0926405,nm0247672,nm0524197,nm0040545,nm0120349,nm0453155,nm0101563,nm0220969"
tt0190374,"nm0923529,nm0000460,nm0668271,nm0005541,nm0583951,nm0369909,nm0223266,nm0034305"
tt0190524,"nm0131647,nm0424635,nm0319739,nm0288929,nm0192963,nm0683600,nm0211479,nm0486225"
tt0190590,"nm0000123,nm0001806,nm0625789,nm0000422,nm0454584,nm0001164,nm0672360,nm0045937,nm0395020"
tt0190861,"nm0000367,nm0000619,nm0002103,nm0001696,nm0001758,nm0480042,nm0071799,nm0341743"
tt0190865,"nm0001277,nm0000563,nm0000200,nm0934179,nm0204199,nm0607325,nm0786022,nm0883621,nm0494774"
tt0190938,"nm0001744,nm0004929,nm1074355,nm0332562,nm0269479,nm0532342,nm0920164"
tt0191037,"nm0001314,nm0001780,nm0412850,nm0911542,nm0174760,nm0001474,nm0121090,nm0836146"
tt0191074,"nm0004875,nm0000282,nm0170541,nm0005029"
tt0191133,"nm0000421,nm0258402,nm1328870"
tt0191397,"nm0000206,nm0000432,nm0428963,nm0522324,nm0848075,nm0948483,nm0934569,nm0219292,nm0269463"
tt0191636,"nm0000809,nm0001437,nm0239816,nm0536162,nm0153340,nm0238884,nm0156737,nm0871909"
tt0191754,"nm0001557,nm0922035,nm0000114,nm0876138,nm0005282,nm0763858"
tt0191996,"nm0187224,nm0000293,nm0590340,nm0482987,nm0571264,nm0726600,nm0929489"
tt0192023,"nm0005292,nm0005351,nm0005231,nm0000498,nm0000469,nm0001233,nm0158150"
tt0192071,"nm0004936,nm0005437,nm0922342,nm0004988,nm0000893"
tt0192111,"nm0005327,nm0106319,nm0106319,nm0220886"
tt0192255,"nm0005151,nm0917353,nm0001290,nm0141697,nm0385809,nm0177001,nm0939795"
tt0192407,"nm0905102,nm0905102,nm0905102,nm0770635,nm0618427,nm0405966,nm0777789,nm0617852"
tt0192455,"nm0000095,nm0001710,nm0001507,nm0000662,nm0000778,nm0209336,nm0004873"
tt0192614,"nm0005045,nm0908094,nm0004991,nm0001520,nm0004996,nm0676973,nm0005266,nm0039545,nm0317181"
tt0192731,"nm0205127,nm0205127,nm0000952,nm0005129,nm0609845,nm0026364,nm0045209"
tt0192788,"nm0039229,nm0559986,nm0205067,nm0001434,nm0000885,nm0001056,nm0030659,nm0049824,nm1824104"
tt0192949,"nm0075650,nm0000101,nm0130712,nm0399088"
tt0193364,"nm0000241,nm0000032,nm0859921,nm0002027,nm0229943,nm0299924,nm0009530,nm0866473,nm0525782"
tt0193560,"nm0004735,nm0005110,nm0001518,nm0713378,nm0000643,nm0871430,nm0551462,nm0000547"
tt0193741,"nm0718204,nm0291918,nm0885418,nm0463568,nm0463570,nm0899416"
tt0193854,"nm0000380,nm0000474,nm0336444,nm2898102,nm0566083,nm0397754,nm0613744,nm0574682"
tt0194218,"nm0000513,nm0000615,nm0000661,nm0233562,nm0055345"
tt0194368,"nm0001872,nm0000156,nm0000704,nm0189144,nm0929489,nm0428963,nm0180984,nm0001383"
tt0195234,"nm0272401,nm0167340,nm0001409,nm0286044,nm0047155,nm0836435,nm0581378,nm0680587"
tt0195685,"nm0001215,nm0109773,nm0735538,nm0838081,nm0804361,nm0318678"
tt0195714,"nm0001701,nm0005445,nm0736263,nm0809793,nm0232414,nm0005405,nm0865302"
tt0195778,"nm0005098,nm0001326,nm0740264,nm0339304,nm0934179"
tt0195945,"nm0001084,nm0258402,nm0682399,nm0936762,nm0193066,nm0889846,nm0780957,nm0596789,nm0001474"
tt0196069,"nm0473329,nm0473329,nm1146415,nm1146415,nm1146376,nm1146376,nm1145554,nm1145554,nm1146201,nm1146201,nm1146375,nm1146375,nm1146413,nm1146413"
