tconst,averageRating,numVotes
tt0035423,6.4,89140
tt0069049,6.7,8052
tt0082328,5.9,1801
tt0113026,5.6,1434
tt0118589,2.4,24093
tt0118652,4.9,1916
tt0118694,8.1,167128
tt0118852,7.1,4640
tt0118926,6.9,6882
tt0119004,5.5,4764
tt0119273,5.4,9341
tt0120202,6.7,22199
tt0120263,7.5,20366
tt0120467,5.2,4289
tt0120626,7.1,3409
tt0120630,7.1,212468
tt0120667,5.7,344089
tt0120679,7.3,95408
tt0120681,6.7,164312
tt0120737,8.9,2009679
tt0120753,5.7,22484
tt0120755,6.1,378074
tt0120804,6.6,288765
tt0120824,6.7,33931
tt0120903,7.3,647302
tt0120912,6.2,404106
tt0120913,6.6,63996
tt0120917,7.4,225820
tt0121164,7.4,299133
tt0121765,6.6,760076
tt0121766,7.6,846638
tt0122459,6.9,22823
tt0123003,6.0,1604
tt0125022,6.2,58037
tt0126029,7.9,735210
tt0127349,6.4,7638
tt0130623,6.4,67302
tt0131704,4.3,21207
tt0132245,4.6,43137
tt0132910,4.9,12422
tt0133152,5.7,229776
tt0133240,7.2,133254
tt0134084,5.6,164232
tt0134630,6.1,10065
tt0134847,7.0,253179
tt0134983,4.8,19438
tt0138524,6.3,101903
tt0138749,6.9,107581
tt0138946,6.4,23111
tt0139388,5.6,2549
tt0139500,7.0,1734
tt0139654,7.7,473494
tt0141399,5.3,2557
tt0141907,4.5,5255
tt0141926,6.6,87446
tt0143861,7.8,2904
tt0144084,7.6,717102
tt0144142,5.1,4048
tt0144528,4.5,53312
tt0144964,4.6,21324
tt0145487,7.4,881008
tt0145937,6.4,6247
tt0146309,7.3,62748
tt0146316,5.8,219101
tt0146882,7.4,189912
tt0146984,6.7,59502
tt0149367,6.3,6410
tt0149624,5.8,15664
tt0150021,4.5,2109
tt0151150,6.1,11030
tt0153464,6.0,2853
tt0156323,5.6,9546
tt0156757,5.9,2127
tt0156807,4.4,1197
tt0156812,7.0,21362
tt0156841,4.7,11704
tt0157122,7.4,3727
tt0157191,5.3,1649
tt0157262,3.5,12917
tt0157472,5.2,15124
tt0157583,6.4,21925
tt0158033,5.9,1849
tt0158622,3.7,25474
tt0159273,6.4,112976
tt0159365,7.2,156222
tt0159784,6.2,7173
tt0160009,5.7,30921
tt0160127,5.6,196445
tt0160184,5.3,29538
tt0160289,5.5,1452
tt0160399,6.1,24569
tt0160403,5.9,1371
tt0160484,4.8,11378
tt0160495,4.7,1053
tt0160611,6.3,14381
tt0160644,5.5,3590
tt0160749,6.1,1022
tt0160797,6.4,50352
tt0161081,6.6,135848
tt0161083,5.4,16927
tt0161216,6.3,2409
tt0161860,7.5,13980
tt0162222,7.8,639442
tt0162346,7.3,126912
tt0162650,6.0,80851
tt0162711,4.9,1632
tt0162983,4.8,13181
tt0163025,5.9,341343
tt0163676,4.6,4865
tt0163978,6.6,254015
tt0163983,5.1,15405
tt0164003,5.9,5819
tt0164052,5.8,138504
