tconst,producer
tt0035423,nm0465298
tt0069049,"nm0550881,nm1475059"
tt0082328,"nm0347775,nm0347776,nm2052281,nm0755345"
tt0113026,"nm0705709,nm0006916"
tt0118589,"nm0486824,nm0548257"
tt0118652,"nm0050247,nm0963218,nm0341650"
tt0118694,nm0939182
tt0118852,"nm0352803,nm0577134,nm0007011"
tt0118926,"nm0351006,nm0000518"
tt0119004,"nm0015917,nm0836476,nm0923673"
tt0119273,"nm0501341,nm0678664"
tt0120202,nm0338320
tt0120263,"nm0023618,nm0027815"
tt0120467,nm0359029
tt0120626,nm0081226
tt0120630,"nm0520485,nm0661910,nm0819862"
tt0120667,"nm0032696,nm0251536,nm0003515"
tt0120679,"nm1011102,nm0338320,nm0362233,nm0000161"
tt0120681,"nm0359100,nm0006613"
tt0120737,"nm0001392,nm0651614,nm0761744,nm0909638"
tt0120753,"nm0095104,nm0202704,nm0458911,nm0623235"
tt0120755,"nm0000129,nm0906048"
tt0120804,"nm0027271,nm0093337,nm0251536,nm0352820"
tt0120824,"nm0326150,nm0390970,nm0005563"
tt0120903,"nm0795682,nm0003515"
tt0120912,"nm0531827,nm0662748"
tt0120913,"nm0089940,nm0325776,nm0456946"
tt0120917,nm0298427
tt0121164,"nm0007831,nm0000318"
tt0121765,"nm0564768,nm0650038"
tt0121766,nm0564768
tt0122459,nm0506681
tt0123003,nm0456712
tt0125022,"nm0204862,nm0648641"
tt0126029,"nm0005076,nm0912403,nm0930964"
tt0127349,"nm0330360,nm0459126,nm0718458"
tt0130623,nm0550455
tt0131704,"nm0000134,nm0742772"
tt0132245,"nm0001317,nm0759627,nm0000230"
tt0132910,"nm0131947,nm0609184,nm0696299"
tt0133152,nm0005573
tt0133240,"nm0166256,nm0174807,nm0615780"
tt0134084,"nm0465298,nm0534543,nm0932078"
tt0134630,"nm0126440,nm0428580,nm0001591"
tt0134847,nm0257259
tt0134983,"nm0160935,nm0228858,nm0787420"
tt0138524,"nm0001053,nm0004976"
tt0138749,"nm0107868,nm0705511"
tt0138946,"nm0649715,nm0916986,nm0917059"
tt0139388,"nm0270090,nm0003500"
tt0139654,"nm0628352,nm0798711"
tt0141399,nm0516465
tt0141907,"nm0276353,nm0440140,nm0740407"
tt0141926,"nm0209569,nm0776646"
tt0144084,"nm0357018,nm0360065,nm0696299"
tt0144142,"nm0372968,nm0799003"
tt0144528,nm0004976
tt0144964,"nm0205287,nm0659949"
tt0145487,"nm0117290,nm0957205"
tt0145937,"nm0067270,nm0716585,nm0007055"
tt0146309,"nm0021977,nm0077000,nm0000126"
tt0146316,"nm0330379,nm0505656,nm0933213"
tt0146882,"nm0079677,nm0799886"
tt0146984,"nm0248180,nm0637602,nm0000602"
tt0149367,"nm0234026,nm0000631,nm0918482,nm0953569"
tt0149624,"nm0007011,nm0000671"
tt0150021,"nm0158861,nm0261133,nm0539735,nm0629190"
tt0151150,nm0415828
tt0153464,nm0830103
tt0156323,nm0800465
tt0156757,nm0446308
tt0156807,"nm0743916,nm0000635"
tt0156812,"nm0359387,nm0424663,nm0425741,nm0467255"
tt0156841,"nm0228908,nm0705709,nm0742347"
tt0157122,"nm0488807,nm0546252"
tt0157191,"nm0048855,nm0001568,nm0000664"
tt0157262,"nm0374961,nm0462858,nm0744465"
tt0157472,"nm0005036,nm0685597"
tt0157583,"nm0001396,nm0584427"
tt0158033,"nm0010780,nm0117081,nm0780870"
tt0158622,nm0169260
tt0159273,nm0204862
tt0159365,"nm0074100,nm0394564,nm0001628,nm0947695"
tt0159784,"nm0860315,nm0922919"
tt0160009,"nm0166431,nm0950620"
tt0160127,"nm0000106,nm0325252,nm0433339"
tt0160184,"nm0444916,nm0452305"
tt0160289,"nm0004396,nm0758413"
tt0160399,"nm0001219,nm0441794,nm0526917,nm0000641"
tt0160403,nm0929293
tt0160484,"nm0000212,nm0755650"
tt0160495,nm6497799
tt0160611,nm0147080
tt0160644,"nm0060103,nm0742347,nm0779970"
tt0160749,nm1089371
tt0160797,"nm0748784,nm0005573"
tt0161081,"nm0710759,nm0823330,nm0000709"
tt0161083,"nm0002170,nm0246059,nm0387674,nm0877274"
tt0161216,"nm0339254,nm0741445"
tt0161860,nm0380764
tt0162222,"nm0000158,nm0710759,nm0823330,nm0000709"
tt0162346,"nm0355147,nm0000518,nm0809833"
tt0162650,"nm0748784,nm0005436"
tt0162711,nm0000265
tt0162983,"nm0001188,nm0548257"
tt0163025,"nm0290581,nm0005086"
tt0163676,nm0732708
tt0163978,nm0531602
tt0163983,nm0626883
tt0164003,"nm0126653,nm0148535,nm0623235"
tt0164052,"nm0550728,nm0926824"
tt0164184,nm0626883
tt0164212,"nm0318822,nm0394280,nm0566975"
tt0164334,"nm0113360,nm0937208"
tt0164810,"nm0626002,nm0192608,nm0747176"
tt0164961,nm0268543
tt0165361,"nm0726099,nm0003298"
tt0165832,"nm0106243,nm0134635,nm0222048,nm0301826"
tt0165929,"nm0005428,nm0888329"
tt0165982,"nm15670664,nm0005076,nm0814969"
tt0166110,"nm0367703,nm0004458,nm0781912"
tt0166158,"nm0467083,nm0577134,nm0007011"
tt0166276,"nm0055431,nm0705365"
tt0166370,nm0002688
tt0166813,"nm0005076,nm0814969"
tt0166924,"nm0249050,nm0469813,nm0688789,nm0764963"
tt0167116,"nm0000212,nm0755650,nm0950648"
tt0167190,"nm0330379,nm0505656,nm0724700"
tt0167203,"nm0415494,nm0829162"
tt0167260,"nm0001392,nm8662749,nm0651614,nm0909638"
tt0167261,"nm0001392,nm8662749,nm0651614,nm0909638"
tt0167456,"nm0079677,nm0271479,nm0400240"
tt0168446,"nm0096681,nm0718983"
tt0168504,"nm0298181,nm0336925,nm0852423"
tt0168629,nm0934668
tt0168786,"nm0085542,nm0354279,nm0000243"
tt0168856,"nm0092693,nm0432723,nm0557897"
tt0169102,nm0451148
tt0170016,"nm0004976,nm0000165"
tt0170691,"nm0004927,nm0353187,nm0586969"
tt0171356,nm0000113
tt0171359,"nm0276404,nm0387646"
tt0171433,"nm0089742,nm0462242,nm0001570"
tt0171580,"nm0326512,nm0616153"
tt0171928,"nm0623025,nm0835097,nm1602274"
tt0172156,nm0000988
tt0172495,"nm0291905,nm0527322,nm0926824"
tt0172543,"nm0523154,nm0574150,nm0698271"
tt0172632,"nm1198847,nm0001804,nm0918482"
tt0173716,"nm0135847,nm0275836,nm0850516"
tt0173840,"nm0014470,nm0497019,nm0756991"
tt0174336,nm0169680
tt0174480,"nm0524342,nm0732364,nm0742347"
tt0175142,"nm0324970,nm0562598"
tt0176694,"nm4755425,nm0583780"
tt0176783,"nm0628352,nm0798711"
tt0177650,"nm0247524,nm0498563,nm0006597,nm0804739"
tt0177845,nm0447189
tt0177858,"nm0775831,nm0777978"
tt0177882,"nm0775831,nm0777978"
tt0177971,"nm0441713,nm0000583,nm0918463"
tt0178043,"nm0074851,nm0527325"
tt0178050,"nm0513165,nm0513170"
tt0178642,"nm0153892,nm0917059"
tt0179098,"nm0425741,nm0797869"
tt0179183,nm0282472
tt0179443,"nm0662500,nm1623493"
tt0179473,"nm0292875,nm0368714"
tt0179626,"nm0011688,nm0088780,nm0381273,nm0917059"
tt0179861,nm0065887
tt0180052,"nm13613139,nm0106840,nm0106841,nm0834870"
tt0180073,"nm0153892,nm0442239,nm0917059"
tt0180093,"nm0914615,nm0922279"
tt0180679,nm0819089
tt0180734,"nm0630567,nm0005367,nm0866132"
tt0180837,"nm0057025,nm0057027"
tt0181151,"nm0532650,nm0001566,nm0788009"
tt0181536,"nm0000125,nm0548257,nm0866104"
tt0181689,"nm0193268,nm0000957,nm0596520,nm0662748"
tt0181739,"nm0219550,nm0125803,nm0268380,nm0672015"
tt0181836,"nm0022913,nm0060889,nm0592684"
tt0181852,"nm0440830,nm0509386,nm0584382,nm0883351"
tt0181865,"nm0081046,nm0380980,nm0001880"
tt0181875,"nm0117290,nm0001081"
tt0181912,"nm0764963,nm0906935"
tt0181984,"nm0865189,nm0865297"
tt0182000,"nm0000362,nm0291082,nm0759627,nm0787834"
tt0182295,"nm0057655,nm0000110"
tt0182508,"nm0325497,nm0364787,nm0790398"
tt0183056,"nm0192770,nm0764963,nm0815081"
tt0183505,"nm0125803,nm0268380,nm0858554"
tt0183523,nm0414930
tt0183649,"nm0626696,nm0001878"
tt0183659,"nm0076681,nm0000438,nm0453091,nm1053363"
tt0183790,"nm0085542,nm0001338,nm0887800"
tt0183869,"nm0000108,nm0702466,nm0702467"
tt0184791,"nm0294944,nm0321218,nm0722603"
tt0184858,"nm0441794,nm0601031,nm12695419,nm0918424"
tt0184894,"nm0053388,nm0083696,nm0322802"
tt0184907,"nm0372935,nm0685597"
tt0185014,"nm0000436,nm0748784"
tt0185183,"nm0006790,nm0759627,nm0000237"
tt0185431,"nm0316406,nm0800465"
tt0186045,"nm0179959,nm0615890,nm0742386"
