tconst,primaryTitle,Actual,Predicted
tt1602585,Ye Maaya Chesave,7.7,6.939800000000005
tt0499556,War,6.2,6.093
tt23343786,Lesson Plan,5.0,4.556
tt2788710,The Interview,6.5,7.05619999999999
tt0922642,Tooth and Nail,4.7,4.227600000000002
tt4895668,Saint George,6.9,6.868400000000003
tt2073086,Still Mine,7.4,6.028399999999999
tt3086582,Tiny Times 2.0,3.5,3.3899999999999886
tt1179793,Summer Book,6.3,6.739999999999994
tt1235200,Mercy,5.9,5.947799999999994
tt0466669,Almost Normal,5.4,5.392600000000025
tt6768578,Dogman,7.2,6.078399999999995
tt1422119,Spring Fever,6.4,6.4932000000000025
tt1477837,Cedar Rapids,6.3,6.418200000000001
tt11198810,She Said,7.3,7.279399999999997
tt5864904,The Capture,4.9,4.359400000000001
tt0280970,My Name Is Tanino,6.4,6.530200000000004
tt1282153,The Strange Case of Angelica,6.3,6.532400000000016
tt11190652,The Rose Maker,6.4,6.275999999999993
tt1758810,The Snowman,5.2,6.360199999999996
tt1637706,Our Idiot Brother,6.4,6.534599999999995
tt7493370,Adults in the Room,6.0,6.707599999999993
tt0440464,Shadow of the Sword,6.0,5.57199999999999
tt2854894,A Fighting Man,5.5,5.180399999999996
tt14926914,Bermuda Island,3.4,4.081999999999998
tt0277705,Final,5.8,5.9488000000000065
tt4520988,Frozen II,6.8,7.301600000000004
tt2403961,The 7th Floor,5.8,5.654200000000012
tt7190460,Thupparivaalan,7.5,7.048999999999984
tt1754257,Naked As We Came,6.2,5.797800000000004
tt0970411,City of Ember,6.4,6.755799999999998
tt4590256,He's All That,4.4,5.5383999999999975
tt15944428,Ghoomer,7.6,7.041599999999999
tt1827579,Spike Island,6.3,6.702399999999999
tt7925066,Hard Paint,6.6,6.271600000000024
tt27539086,800,7.4,7.123400000000019
tt3074952,Welcome to Willits,4.1,4.236799999999996
tt9660502,Close,7.8,7.459599999999998
tt3161960,Nobody from Nowhere,6.7,6.693400000000001
tt0409696,Someone Special,7.0,6.967200000000013
tt21087084,Happy Ending,5.4,6.531599999999976
tt12062432,Galwakdi,6.2,6.057399999999987
tt2724532,Gridlocked,5.8,5.9289999999999905
tt6094760,Playground,6.2,5.5867999999999975
tt11686490,The Deep House,5.3,5.256999999999996
tt21241942,Buddy Games: Spring Awakening,4.5,4.832400000000001
tt15509662,Nallamala,7.8,7.720600000000027
tt2150332,Renoir,6.5,6.5420000000000025
tt0365485,The Matador,6.7,6.247799999999994
tt1856053,"Little Brother, Big Trouble: A Christmas Adventure",5.6,5.568600000000012
tt19883634,The Old Oak,7.1,7.181799999999989
tt5816682,Victoria & Abdul,6.8,6.418600000000005
tt1661461,What a Man,5.5,5.703599999999991
tt0914798,The Boy in the Striped Pajamas,7.7,7.794200000000003
tt4552524,Jeruzalem,4.8,5.245800000000002
tt9198364,Three Thousand Years of Longing,6.7,6.586599999999999
tt2458106,Ninja: Shadow of a Tear,6.1,5.347399999999997
tt1793931,The Tuche Family,5.4,5.277799999999996
tt10627352,Delete History,5.7,6.302800000000014
tt5717492,Small Crimes,5.8,6.042399999999993
tt4815122,Time Trap,6.2,6.069399999999977
tt1656190,Safe,6.5,6.903399999999986
tt0396707,The Secret of Moonacre,6.0,5.522800000000007
tt0247196,Before Night Falls,7.1,7.0258
tt13207508,Swan Song,6.8,6.693600000000016
tt13874422,The Eternal Daughter,5.9,6.372200000000003
tt3407428,Glassland,6.0,5.836799999999977
tt0370244,9 Souls,7.1,6.863399999999997
tt10793644,The Vigil,5.8,5.561400000000001
tt2183034,Earth to Echo,5.7,6.115599999999987
tt0460492,The Last Train,6.6,6.475199999999968
tt1386683,A Somewhat Gentle Man,6.9,5.1251999999999995
tt2044801,Kite,4.4,5.952199999999996
tt10324122,Secret Society of Second Born Royals,5.0,5.693599999999999
tt5700672,Train to Busan,7.6,6.532599999999995
tt10443844,Psycho-Pass: Sinners of the System Case.1 Crime and Punishment,6.6,5.9287999999999945
tt5192674,Beach House,4.9,4.868800000000013
tt5662932,Psycho Raman,7.3,8.046800000000019
tt6660112,Nabab,7.4,6.755400000000005
tt1951261,The Hangover Part III,5.8,7.019800000000005
tt1991031,Digging Up the Marrow,5.8,5.643000000000008
tt3844876,The Legend of Ben Hall,5.8,5.829799999999995
tt0365907,A Walk Among the Tombstones,6.5,6.336600000000003
tt4186118,Iyobinte Pusthakam,7.7,7.8885999999999825
tt1262981,World's Greatest Dad,6.9,6.949600000000005
tt4575930,Custody,6.5,5.930600000000027
tt5535942,Küçük Esnaf,5.6,5.655599999999996
tt1935896,The ABCs of Death,4.7,5.430000000000002
